EXPERIMENT, BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
4, ,8, 1000000,100,, SR,lab004-074, 3, 3, 7, 10, 3.415270,3.4152901173
4, ,8, 1000000, 100,, RS, lab004-075, 6, 6, 2, 8, 3.426058,3.4260780811
4, ,8, 1000000,100,, SR,lab004-074, 2, 2, 6, 8, 3.426190,3.4262080193
5, ,8, 1000000, 100,, RS, lab004-075, 5, 5, 1, 6, 3.317399,3.3174269199
5, ,8, 1000000,100,, SR,lab004-074, 1, 1, 5, 6, 3.317726,3.3177549839
5, ,8, 1000000, 100,, RS, lab004-075, 4, 4, 0, 4, 3.408275,3.4082989693
5, ,8, 1000000, 100,, RS, lab004-075, 6, 6, 2, 8, 3.413475,3.4135081768
5, ,8, 1000000,100,, SR,lab004-074, 0, 0, 4, 4, 3.408370,3.4083898067
5, ,8, 1000000,100,, SR,lab004-074, 2, 2, 6, 8, 3.413587,3.4136049747
5, ,8, 1000000, 100,, RS, lab004-075, 7, 7, 3, 10, 3.425832,3.4258549213
5, ,8, 1000000,100,, SR,lab004-074, 3, 3, 7, 10, 3.426034,3.4260540009
6, ,8, 1000000, 100,, RS, lab004-075, 5, 5, 1, 6, 3.381859,3.3818910122
6, ,8, 1000000,100,, SR,lab004-074, 1, 1, 5, 6, 3.382187,3.3822150230
6, ,8, 1000000, 100,, RS, lab004-075, 4, 4, 0, 4, 3.404102,3.4041359425
6, ,8, 1000000,100,, SR,lab004-074, 0, 0, 4, 4, 3.404454,3.4044790268
6, ,8, 1000000, 100,, RS, lab004-075, 6, 6, 2, 8, 3.418528,3.4185471535
6, ,8, 1000000,100,, SR,lab004-074, 2, 2, 6, 8, 3.418999,3.4190189838
6, ,8, 1000000, 100,, RS, lab004-075, 7, 7, 3, 10, 3.425383,3.4254009724
6, ,8, 1000000,100,, SR,lab004-074, 3, 3, 7, 10, 3.425652,3.4256699085
7, ,8, 1000000, 100,, RS, lab004-075, 6, 6, 2, 8, 3.227185,3.2272129059
7, ,8, 1000000,100,, SR,lab004-074, 2, 2, 6, 8, 3.227261,3.2272880077
7, ,8, 1000000, 100,, RS, lab004-075, 4, 4, 0, 4, 3.405506,3.4055309296
7, ,8, 1000000,100,, SR,lab004-074, 0, 0, 4, 4, 3.405572,3.4055998325
7, ,8, 1000000, 100,, RS, lab004-075, 5, 5, 1, 6, 3.422094,3.4221241474
7, ,8, 1000000, 100,, RS, lab004-075, 7, 7, 3, 10, 3.425605,3.4256241322
7, ,8, 1000000,100,, SR,lab004-074, 1, 1, 5, 6, 3.422251,3.4222719669
7, ,8, 1000000,100,, SR,lab004-074, 3, 3, 7, 10, 3.425891,3.4259099960
8, ,8, 1000000, 100,, RS, lab004-075, 4, 4, 0, 4, 3.399578,3.3996059895
8, ,8, 1000000,100,, SR,lab004-074, 0, 0, 4, 4, 3.399629,3.3996601105
8, ,8, 1000000, 100,, RS, lab004-075, 7, 7, 3, 10, 3.414661,3.4146969318
8, ,8, 1000000,100,, SR,lab004-074, 3, 3, 7, 10, 3.414712,3.4147331715
8, ,8, 1000000, 100,, RS, lab004-075, 6, 6, 2, 8, 3.423231,3.4232487679
8, ,8, 1000000,100,, SR,lab004-074, 2, 2, 6, 8, 3.423320,3.4233410358
8, ,8, 1000000, 100,, RS, lab004-075, 5, 5, 1, 6, 3.425638,3.4256579876
8, ,8, 1000000,100,, SR,lab004-074, 1, 1, 5, 6, 3.425684,3.4257121086
9, ,8, 1000000, 100,, RS, lab004-075, 6, 6, 2, 8, 3.144652,3.1446800232
9, ,8, 1000000,100,, SR,lab004-074, 2, 2, 6, 8, 3.144662,3.1446909904
9, ,8, 1000000, 100,, RS, lab004-075, 7, 7, 3, 10, 3.382140,3.3821640015
9, ,8, 1000000,100,, SR,lab004-074, 3, 3, 7, 10, 3.382160,3.3821868896
9, ,8, 1000000, 100,, RS, lab004-075, 5, 5, 1, 6, 3.400021,3.4000439644
9, ,8, 1000000,100,, SR,lab004-074, 1, 1, 5, 6, 3.400021,3.4000430107
9, ,8, 1000000, 100,, RS, lab004-075, 4, 4, 0, 4, 3.426282,3.4263010025
9, ,8, 1000000,100,, SR,lab004-074, 0, 0, 4, 4, 3.426400,3.4264218807
10, ,8, 1000000, 100,, RS, lab004-075, 7, 7, 3, 10, 3.244409,3.2444460392
10, ,8, 1000000,100,, SR,lab004-074, 3, 3, 7, 10, 3.244608,3.2446379662
10, ,8, 1000000, 100,, RS, lab004-075, 5, 5, 1, 6, 3.334878,3.3349049091
10, ,8, 1000000,100,, SR,lab004-074, 1, 1, 5, 6, 3.334915,3.3349380493
10, ,8, 1000000, 100,, RS, lab004-075, 4, 4, 0, 4, 3.379908,3.3799309731
10, ,8, 1000000,100,, SR,lab004-074, 0, 0, 4, 4, 3.379906,3.3799271584
10, ,8, 1000000, 100,, RS, lab004-075, 6, 6, 2, 8, 3.427019,3.4270489216
10, ,8, 1000000,100,, SR,lab004-074, 2, 2, 6, 8, 3.427078,3.4271159172
1, ,8, 1000, 100,, RS, lab004-075, 5, 5, 1, 6, 0.003442,0.0034649372
1, ,8, 1000, 100,, RS, lab004-075, 6, 6, 2, 8, 0.003730,0.0037441254
1, ,8, 1000, 100,, RS, lab004-075, 4, 4, 0, 4, 0.003989,0.0040221214
1, ,8, 1000,100,, SR,lab004-074, 1, 1, 5, 6, 0.003662,0.0036849976
1, ,8, 1000, 100,, RS, lab004-075, 7, 7, 3, 10, 0.004091,0.0041139126
1, ,8, 1000,100,, SR,lab004-074, 2, 2, 6, 8, 0.003919,0.0039379597
1, ,8, 1000,100,, SR,lab004-074, 0, 0, 4, 4, 0.004172,0.0041890144
1, ,8, 1000,100,, SR,lab004-074, 3, 3, 7, 10, 0.004176,0.0042009354
2, ,8, 1000, 100,, RS, lab004-075, 7, 7, 3, 10, 0.003572,0.0035917759
2, ,8, 1000, 100,, RS, lab004-075, 6, 6, 2, 8, 0.003768,0.0037820339
2, ,8, 1000, 100,, RS, lab004-075, 5, 5, 1, 6, 0.004006,0.0040221214
2, ,8, 1000, 100,, RS, lab004-075, 4, 4, 0, 4, 0.004088,0.0041038990
2, ,8, 1000,100,, SR,lab004-074, 3, 3, 7, 10, 0.003683,0.0037031174
2, ,8, 1000,100,, SR,lab004-074, 2, 2, 6, 8, 0.003924,0.0039410591
2, ,8, 1000,100,, SR,lab004-074, 1, 1, 5, 6, 0.004180,0.0041971207
2, ,8, 1000,100,, SR,lab004-074, 0, 0, 4, 4, 0.004174,0.0041899681
3, ,8, 1000, 100,, RS, lab004-075, 7, 7, 3, 10, 0.003746,0.0037670135
3, ,8, 1000, 100,, RS, lab004-075, 4, 4, 0, 4, 0.003851,0.0038700104
3, ,8, 1000, 100,, RS, lab004-075, 5, 5, 1, 6, 0.003965,0.0039808750
3, ,8, 1000,100,, SR,lab004-074, 3, 3, 7, 10, 0.003933,0.0039570332
3, ,8, 1000,100,, SR,lab004-074, 0, 0, 4, 4, 0.003938,0.0039610863
3, ,8, 1000, 100,, RS, lab004-075, 6, 6, 2, 8, 0.004101,0.0041179657
3, ,8, 1000,100,, SR,lab004-074, 1, 1, 5, 6, 0.004190,0.0042130947
3, ,8, 1000,100,, SR,lab004-074, 2, 2, 6, 8, 0.004182,0.0041968822
4, ,8, 1000, 100,, RS, lab004-075, 5, 5, 1, 6, 0.003847,0.0038669109
