EXPERIMENT,BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
1, 1, 8, 1,,,, lab004-075, 5,,,, 0.0003869534,,
1, 1, 8, 1,,,, lab004-074, 0,,,, 0.0004949570,,
1, 1, 8, 1,,,, lab004-074, 2,,,, 0.0004980564,,
1, 1, 8, 1,,,, lab004-075, 6,,,, 0.0003111362,,
2, 1, 8, 1,,,, lab004-074, 2,,,, 0.0005531311,,
2, 1, 8, 1,,,, lab004-075, 5,,,, 0.0006699562,,
2, 1, 8, 1,,,, lab004-074, 3,,,, 0.0005340576,,
2, 1, 8, 1,,,, lab004-075, 6,,,, 0.0006690025,,
2, 1, 8, 1,,,, lab004-074, 1,,,, 0.0005559921,,
2, 1, 8, 1,,,, lab004-075, 7,,,, 0.0006740093,,
2, 1, 8, 1,,,, lab004-074, 0,,,, 0.0005309582,,
2, 1, 8, 1,,,, lab004-075, 4,,,, 0.0006680489,,
3, 1, 8, 1,,,, lab004-075, 7,,,, 0.0010099411,,
3, 1, 8, 1,,,, lab004-074, 1,,,, 0.0005550385,,
3, 1, 8, 1,,,, lab004-075, 4,,,, 0.0010130405,,
3, 1, 8, 1,,,, lab004-074, 2,,,, 0.0005650520,,
3, 1, 8, 1,,,, lab004-075, 5,,,, 0.0010070801,,
3, 1, 8, 1,,,, lab004-074, 3,,,, 0.0005340576,,
3, 1, 8, 1,,,, lab004-074, 0,,,, 0.0005149841,,
3, 1, 8, 1,,,, lab004-075, 6,,,, 0.0010161400,,
4, 1, 8, 1,,,, lab004-074, 2,,,, 0.0004849434,,
4, 1, 8, 1,,,, lab004-075, 4,,,, 0.0002379417,,
4, 1, 8, 1,,,, lab004-074, 3,,,, 0.0005059242,,
4, 1, 8, 1,,,, lab004-075, 6,,,, 0.0002410412,,
4, 1, 8, 1,,,, lab004-074, 0,,,, 0.0004990101,,
4, 1, 8, 1,,,, lab004-075, 7,,,, 0.0002410412,,
4, 1, 8, 1,,,, lab004-074, 1,,,, 0.0006539822,,
4, 1, 8, 1,,,, lab004-075, 5,,,, 0.0002858639,,
5, 1, 8, 1,,,, lab004-074, 0,,,, 0.0004911423,,
5, 1, 8, 1,,,, lab004-075, 4,,,, 0.0005741119,,
5, 1, 8, 1,,,, lab004-074, 1,,,, 0.0005221367,,
5, 1, 8, 1,,,, lab004-075, 5,,,, 0.0005750656,,
5, 1, 8, 1,,,, lab004-074, 3,,,, 0.0005259514,,
5, 1, 8, 1,,,, lab004-075, 7,,,, 0.0005629063,,
5, 1, 8, 1,,,, lab004-075, 6,,,, 0.0005700588,,
5, 1, 8, 1,,,, lab004-074, 2,,,, 0.0004940033,,
6, 1, 8, 1,,,, lab004-075, 4,,,, 0.0005979538,,
6, 1, 8, 1,,,, lab004-074, 1,,,, 0.0004799366,,
6, 1, 8, 1,,,, lab004-074, 3,,,, 0.0005161762,,
6, 1, 8, 1,,,, lab004-075, 5,,,, 0.0005991459,,
6, 1, 8, 1,,,, lab004-074, 0,,,, 0.0004978180,,
6, 1, 8, 1,,,, lab004-075, 6,,,, 0.0005900860,,
6, 1, 8, 1,,,, lab004-074, 2,,,, 0.0004680157,,
6, 1, 8, 1,,,, lab004-075, 7,,,, 0.0005869865,,
7, 1, 8, 1,,,, lab004-074, 2,,,, 0.0005190372,,
7, 1, 8, 1,,,, lab004-075, 7,,,, 0.0006248951,,
7, 1, 8, 1,,,, lab004-074, 3,,,, 0.0005140305,,
7, 1, 8, 1,,,, lab004-075, 4,,,, 0.0006399155,,
7, 1, 8, 1,,,, lab004-074, 1,,,, 0.0005071163,,
7, 1, 8, 1,,,, lab004-075, 5,,,, 0.0006260872,,
7, 1, 8, 1,,,, lab004-074, 0,,,, 0.0005130768,,
7, 1, 8, 1,,,, lab004-075, 6,,,, 0.0006220341,,
8, 1, 8, 1,,,, lab004-074, 2,,,, 0.0005028248,,
8, 1, 8, 1,,,, lab004-075, 6,,,, 0.0005588531,,
8, 1, 8, 1,,,, lab004-075, 7,,,, 0.0005431175,,
8, 1, 8, 1,,,, lab004-074, 3,,,, 0.0004730225,,
8, 1, 8, 1,,,, lab004-075, 5,,,, 0.0005640984,,
8, 1, 8, 1,,,, lab004-074, 0,,,, 0.0005149841,,
8, 1, 8, 1,,,, lab004-075, 4,,,, 0.0005660057,,
8, 1, 8, 1,,,, lab004-074, 1,,,, 0.0004441738,,
9, 1, 8, 1,,,, lab004-074, 3,,,, 0.0004699230,,
9, 1, 8, 1,,,, lab004-075, 4,,,, 0.0005600452,,
9, 1, 8, 1,,,, lab004-075, 5,,,, 0.0005600452,,
9, 1, 8, 1,,,, lab004-074, 0,,,, 0.0004949570,,
9, 1, 8, 1,,,, lab004-075, 7,,,, 0.0005500317,,
9, 1, 8, 1,,,, lab004-074, 1,,,, 0.0005068779,,
