EXPERIMENT,BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
5, 0, 4, 10,,,R, lab004-074, 3,,,, 0.0000498295,
5, 0, 4, 10,,,R, lab004-074, 1,,,, 0.0000541210,
5, 0, 4, 10,,,S, lab004-074, 0,,,, 0.0000219345,
6, 0, 4, 10,,,R, lab004-074, 3,,,, 0.0000491142,
6, 0, 4, 10,,,S, lab004-074, 0,,,, 0.0000221729,
6, 0, 4, 10,,,R, lab004-074, 2,,,, 0.0000550747,
6, 0, 4, 10,,,R, lab004-074, 1,,,, 0.0000178814,
7, 0, 4, 10,,,R, lab004-074, 3,,,, 0.0003058910,
7, 0, 4, 10,,,S, lab004-074, 0,,,, 0.0000219345,
7, 0, 4, 10,,,R, lab004-074, 1,,,, 0.0002329350,
7, 0, 4, 10,,,R, lab004-074, 2,,,, 0.0002970695,
8, 0, 4, 10,,,R, lab004-074, 2,,,, 0.0002901554,
8, 0, 4, 10,,,R, lab004-074, 3,,,, 0.0002918243,
8, 0, 4, 10,,,S, lab004-074, 0,,,, 0.0000209808,
8, 0, 4, 10,,,R, lab004-074, 1,,,, 0.0002670288,
9, 0, 4, 10,,,R, lab004-074, 3,,,, 0.0000159740,
9, 0, 4, 10,,,S, lab004-074, 0,,,, 0.0000219345,
9, 0, 4, 10,,,R, lab004-074, 1,,,, 0.0000269413,
9, 0, 4, 10,,,R, lab004-074, 2,,,, 0.0000269413,
10, 0, 4, 10,,,S, lab004-074, 0,,,, 0.0000209808,
10, 0, 4, 10,,,R, lab004-074, 2,,,, 0.0000331402,
10, 0, 4, 10,,,R, lab004-074, 3,,,, 0.0000309944,
10, 0, 4, 10,,,R, lab004-074, 1,,,, 0.0000331402,
1, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0000259876,
1, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0000240803,
1, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0000321865,
1, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0000159740,
2, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0000319481,
2, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0000219345,
2, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0000150204,
2, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0000140667,
3, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0000209808,
3, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0002851486,
3, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0002329350,
3, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0002520084,
4, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0003101826,
4, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0000219345,
4, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0003139973,
4, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0003130436,
5, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0002160072,
5, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0000212193,
5, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0000920296,
5, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0002009869,
6, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0003120899,
6, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0000221729,
6, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0003149509,
6, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0003159046,
7, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0003280640,
7, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0002851486,
7, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0000221729,
7, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0002739429,
8, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0002369881,
8, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0002460480,
8, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0000209808,
8, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0002460480,
9, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0002539158,
9, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0000419617,
9, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0002541542,
9, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0002532005,
10, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0000209808,
10, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0000162125,
10, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0000209808,
10, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0000169277,
1, 0, 4, 5,,,R, lab004-074, 2,,,, 0.0000290871,
1, 0, 4, 5,,,R, lab004-074, 3,,,, 0.0000150204,
1, 0, 4, 5,,,S, lab004-074, 0,,,, 0.0000209808,
1, 0, 4, 5,,,R, lab004-074, 1,,,, 0.0000159740,
2, 0, 4, 5,,,R, lab004-074, 3,,,, 0.0000150204,
2, 0, 4, 5,,,S, lab004-074, 0,,,, 0.0000219345,
2, 0, 4, 5,,,R, lab004-074, 2,,,, 0.0000209808,
2, 0, 4, 5,,,R, lab004-074, 1,,,, 0.0000150204,
3, 0, 4, 5,,,R, lab004-074, 3,,,, 0.0003459454,
3, 0, 4, 5,,,S, lab004-074, 0,,,, 0.0000369549,
3, 0, 4, 5,,,R, lab004-074, 2,,,, 0.0003089905,
3, 0, 4, 5,,,R, lab004-074, 1,,,, 0.0003352165,
4, 0, 4, 5,,,S, lab004-074, 0,,,, 0.0000209808,
4, 0, 4, 5,,,R, lab004-074, 2,,,, 0.0001378059,
4, 0, 4, 5,,,R, lab004-074, 1,,,, 0.0000150204,
4, 0, 4, 5,,,R, lab004-074, 3,,,, 0.0000181198,
5, 0, 4, 5,,,R, lab004-074, 3,,,, 0.0000150204,
5, 0, 4, 5,,,S, lab004-074, 0,,,, 0.0000209808,
5, 0, 4, 5,,,R, lab004-074, 1,,,, 0.0000259876,
5, 0, 4, 5,,,R, lab004-074, 2,,,, 0.0000150204,
6, 0, 4, 5,,,R, lab004-074, 3,,,, 0.0000159740,
6, 0, 4, 5,,,S, lab004-074, 0,,,, 0.0000228882,
6, 0, 4, 5,,,R, lab004-074, 1,,,, 0.0000269413,
6, 0, 4, 5,,,R, lab004-074, 2,,,, 0.0000169277,
7, 0, 4, 5,,,R, lab004-074, 3,,,, 0.0000860691,
7, 0, 4, 5,,,S, lab004-074, 0,,,, 0.0000219345,
7, 0, 4, 5,,,R, lab004-074, 1,,,, 0.0000689030,
7, 0, 4, 5,,,R, lab004-074, 2,,,, 0.0000181198,
8, 0, 4, 5,,,R, lab004-074, 3,,,, 0.0000591278,
8, 0, 4, 5,,,S, lab004-074, 0,,,, 0.0000219345,
8, 0, 4, 5,,,R, lab004-074, 2,,,, 0.0000441074,
8, 0, 4, 5,,,R, lab004-074, 1,,,, 0.0000150204,
9, 0, 4, 5,,,R, lab004-074, 3,,,, 0.0000319481,
9, 0, 4, 5,,,S, lab004-074, 0,,,, 0.0000209808,
9, 0, 4, 5,,,R, lab004-074, 2,,,, 0.0000340939,
9, 0, 4, 5,,,R, lab004-074, 1,,,, 0.0000159740,
10, 0, 4, 5,,,R, lab004-074, 3,,,, 0.0000309944,
10, 0, 4, 5,,,S, lab004-074, 0,,,, 0.0000209808,
10, 0, 4, 5,,,R, lab004-074, 2,,,, 0.0000731945,
10, 0, 4, 5,,,R, lab004-074, 1,,,, 0.0000178814,
1, 0, 4, 900,,,R, lab004-074, 3,,,, 0.0000450611,
1, 0, 4, 900,,,S, lab004-074, 0,,,, 0.0000259876,
1, 0, 4, 900,,,R, lab004-074, 2,,,, 0.0000238419,
1, 0, 4, 900,,,R, lab004-074, 1,,,, 0.0000190735,
2, 0, 4, 900,,,R, lab004-074, 3,,,, 0.0000360012,
2, 0, 4, 900,,,S, lab004-074, 0,,,, 0.0000247955,
2, 0, 4, 900,,,R, lab004-074, 2,,,, 0.0000369549,
